UserId,Rank,ProductId,Score_previsto
A3OXHLG6DIBRW8,1,B0002DGRRA,5.0
A3OXHLG6DIBRW8,2,B000E48IMO,5.0
A3OXHLG6DIBRW8,3,B000FFIIZO,5.0
A3OXHLG6DIBRW8,4,B000FK7PQW,5.0
A3OXHLG6DIBRW8,5,B000H7ELTW,5.0
A281NPSIMI1C2R,1,7310172001,5.0
A281NPSIMI1C2R,2,7310172101,5.0
A281NPSIMI1C2R,3,B00008JOL0,5.0
A281NPSIMI1C2R,4,B0000DJ7SW,5.0
A281NPSIMI1C2R,5,B0000DJ7Z6,5.0
A2FRFAQCWZJT3Q,1,7310172001,5.0
A2FRFAQCWZJT3Q,2,B0009JJB6G,5.0
A2FRFAQCWZJT3Q,3,B000DZH19U,5.0
A2FRFAQCWZJT3Q,4,B000ET4SM8,5.0
A2FRFAQCWZJT3Q,5,B000WFS9G0,5.0
A2Y8IDC1FKGNJC,1,B000LKWXZ4,5.0
A2Y8IDC1FKGNJC,2,B001E5E0Y2,5.0
A2Y8IDC1FKGNJC,3,B001EO5Q64,5.0
A2Y8IDC1FKGNJC,4,B002TXT502,5.0
A2Y8IDC1FKGNJC,5,B003B3OOPA,5.0
A2SZLNSI5KOQJT,1,B0029NVJNI,4.869333940457052
A2SZLNSI5KOQJT,2,B003B3OOPA,4.857440159244286
A2SZLNSI5KOQJT,3,B002EDIJCM,4.83989701638197
A2SZLNSI5KOQJT,4,B001BORBM4,4.78351206608808
A2SZLNSI5KOQJT,5,B000Z3ODTG,4.749766247844792
